embedding_size,algorithm,n_clusters,noise_points,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,total_points,noise_percentage,clustered_points,clustered_percentage
50,"DBSCAN (euclidean, eps=0.75, min_samples=4)",6,4,0.9431486731861726,153144.8000174363,0.12203445375493176,0.14570707806913016,0.38328502889014343,0.2619733397352312,0.7138438847732008,0.38328502889014343,0.3846639345639357,0.4917788111858193,0.4316758244923039,683,0.5856515373352855,679,99.41434846266472
50,"DBSCAN (euclidean, eps=0.75, min_samples=5)",6,4,0.9431486731861726,153144.8000174363,0.12203445375493176,0.14570707806913016,0.38328502889014343,0.2619733397352312,0.7138438847732008,0.38328502889014343,0.3846639345639357,0.4917788111858193,0.4316758244923039,683,0.5856515373352855,679,99.41434846266472
50,"DBSCAN (euclidean, eps=1.0, min_samples=2)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.0, min_samples=3)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.0, min_samples=4)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.0, min_samples=5)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.25, min_samples=2)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.25, min_samples=3)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.25, min_samples=4)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.25, min_samples=5)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.5, min_samples=2)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.5, min_samples=3)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.5, min_samples=4)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.5, min_samples=5)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.75, min_samples=2)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.75, min_samples=3)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.75, min_samples=4)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=1.75, min_samples=5)",5,1,0.9387295648175079,169465.40064303737,0.16455096598397995,0.14732718513523457,0.3825183815612622,0.2592130472200826,0.7295668008962625,0.38251838156126217,0.5261140699839859,0.5798851087766183,0.5516924796335847,683,0.14641288433382138,682,99.85358711566617
50,"DBSCAN (euclidean, eps=2.0, min_samples=2)",5,0,0.9378151796886294,159823.10087862017,0.16489284695775897,0.1468603648977403,0.38133695442876775,0.25780066179658295,0.7322040823716729,0.38133695442876775,0.43110238745179597,0.6833621305319418,0.5286826834100513,683,0.0,683,100.0
50,"DBSCAN (euclidean, eps=2.0, min_samples=3)",5,0,0.9378151796886294,159823.10087862017,0.16489284695775897,0.1468603648977403,0.38133695442876775,0.25780066179658295,0.7322040823716729,0.38133695442876775,0.43110238745179597,0.6833621305319418,0.5286826834100513,683,0.0,683,100.0
