,ari_score,ari_score,ari_score,ari_score,ari_score,clustered_percentage,clustered_percentage,clustered_percentage,clustered_percentage,clustered_percentage
embedding_size,50,100,150,200,250,50,100,150,200,250
algorithm,,,,,,,,,,
"DBSCAN (eps=7.0, min_samples=3)",0.05691192280654256,0.05606996727183771,0.049701091683179294,0.05606996727183771,0.05606996727183771,30.457380457380456,30.561330561330564,30.14553014553015,30.561330561330564,30.561330561330564
"DBSCAN (eps=7.0, min_samples=4)",0.0500672470371651,0.049256367472098696,0.0500672470371651,0.049256367472098696,0.049256367472098696,27.027027027027028,27.13097713097713,27.027027027027028,27.13097713097713,27.13097713097713
"DBSCAN (eps=7.0, min_samples=5)",0.041045349862159256,0.040334544312081166,0.041045349862159256,0.040334544312081166,0.040334544312081166,22.86902286902287,22.972972972972975,22.86902286902287,22.972972972972975,22.972972972972975
"DBSCAN (eps=7.5, min_samples=2)",0.09400433866394133,0.09257985653249798,0.09290124870692903,0.09148205953011149,0.09148205953011149,38.04573804573805,38.357588357588355,38.149688149688146,38.46153846153847,38.46153846153847
"DBSCAN (eps=7.5, min_samples=3)",0.05606996727183771,0.05799346837851301,0.055116737297982346,0.057026812275274695,0.057026812275274695,30.561330561330564,30.87318087318087,30.665280665280665,30.97713097713098,30.97713097713098
"DBSCAN (eps=7.5, min_samples=4)",0.049256367472098696,0.049256367472098696,0.045569004875066293,0.045569004875066293,0.045569004875066293,27.13097713097713,27.13097713097713,27.546777546777545,27.546777546777545,27.546777546777545
"DBSCAN (eps=7.5, min_samples=5)",0.040334544312081166,0.040334544312081166,0.040334544312081166,0.040334544312081166,0.040334544312081166,22.972972972972975,22.972972972972975,22.972972972972975,22.972972972972975,22.972972972972975
"DBSCAN (eps=8.0, min_samples=2)",0.09371251813240693,0.08927145022762939,0.08927145022762939,0.08927145022762939,0.08927145022762939,38.25363825363826,38.66943866943867,38.66943866943867,38.66943866943867,38.66943866943867
"DBSCAN (eps=8.0, min_samples=3)",0.057026812275274695,0.057026812275274695,0.057026812275274695,0.057026812275274695,0.057026812275274695,30.97713097713098,30.97713097713098,30.97713097713098,30.97713097713098,30.97713097713098
"DBSCAN (eps=8.0, min_samples=4)",0.045569004875066293,0.045569004875066293,0.045569004875066293,0.045569004875066293,0.045569004875066293,27.546777546777545,27.546777546777545,27.546777546777545,27.546777546777545,27.546777546777545
