0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
6.4534864,0.0,0.0,0.3223242,16.253834,5.4733,0.0,11.037453,13.056776,8.091166,9.105297,6.4667153,11.103781,2.5139225,6.5524087,10.421727,6.183516,4.386321,14.009557,7.59366,4.2464375,8.046748,14.727353,3.9584897,33.3956,16.178846,0.0,9.119695,0.0,9.141244,0.0,14.611051
6.473935,0.0,0.0,0.60494757,16.0486,5.920806,0.0,11.7570505,13.1326,7.948624,8.832184,6.341565,10.868893,2.872506,6.7413926,11.3491335,6.3811684,4.159881,14.481387,7.2761283,4.30752,7.7132134,14.764307,4.7142844,34.384163,16.283112,0.0,9.254285,0.0,9.44585,0.0,14.779988
6.507759,0.0,0.0,0.89093375,16.233864,6.483477,0.0,11.949112,12.994462,7.59523,8.733967,6.6003103,11.453036,3.0877168,6.931698,11.254905,6.4857736,4.4581366,14.353063,6.4891696,4.4740834,7.882346,14.772984,4.9482603,35.063446,16.186668,0.0,9.056203,0.0,9.522178,0.0,14.768275
5.8869057,0.0,0.0,1.7968403,15.262479,6.3528566,0.0,13.2747,12.912454,7.164569,7.9218397,6.0105085,11.231869,3.442025,8.326341,12.3442335,5.952895,4.143712,15.285431,5.518753,3.983207,8.673326,13.925274,5.5863395,35.79957,16.3987,0.0,10.274487,0.0,10.631187,0.0,15.401016
6.3427296,0.0,0.0,1.5790818,15.753087,6.971238,0.0,12.621098,12.169304,7.2393346,8.403336,7.0680366,11.665201,3.1928077,7.682279,12.04863,5.8625526,4.28894,14.69542,5.4472976,4.86222,7.7634187,14.340012,5.853843,35.904266,15.991191,0.0,8.860326,0.0,10.322551,0.0,14.829078
6.2203226,0.0,0.0,2.3618824,15.376863,7.3407273,0.0,12.845482,12.19561,7.514356,8.628012,7.163734,11.729032,2.9702384,7.9723277,12.133507,5.2747493,4.453355,15.319378,5.3053074,5.3005075,7.9638104,14.025345,5.8894243,37.033165,16.116611,0.0,8.831217,0.0,10.828962,0.0,15.158942
5.9494114,0.0,0.0,2.7217999,14.854329,7.276031,0.0,12.932432,11.654745,7.7540064,8.63956,7.2245927,11.064134,2.8883038,8.264655,12.170757,4.5948195,4.0703993,15.548676,5.227206,5.3949413,7.949488,13.267258,6.137501,37.12742,16.167765,0.0,8.664187,0.0,11.246688,0.0,15.193497
6.153902,0.0,1.1410512,4.4339943,14.04486,7.804653,0.0,13.350844,13.302084,8.688216,9.4121685,7.717803,11.260187,1.6668013,8.603421,11.849243,3.9035869,4.1502004,16.696814,4.789733,5.1960306,8.871725,11.930944,5.932635,38.886013,17.104975,0.0,9.010819,0.0,11.5988455,0.0,15.883976
5.5086765,0.0,1.561351,3.8667474,13.7511015,7.871598,0.0,13.9001665,13.912529,9.306951,9.15969,9.081012,12.38862,1.9596885,9.038152,12.00334,3.2030218,3.0244315,18.425488,4.952049,4.582337,8.914543,11.620932,5.785846,39.53585,18.130938,0.0,10.013677,0.0,13.141808,0.0,15.977609
5.9127626,0.0,2.8517036,4.5960507,12.302338,7.385723,0.0,13.94037,13.018736,9.715974,8.585147,8.225965,10.030494,1.8562032,8.747669,12.236826,2.670251,3.127575,18.47799,4.313707,4.635385,8.642789,10.213875,6.018506,38.397186,16.984154,0.0,9.522173,0.0,12.124218,0.0,15.934965
