presence,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Dish,1.3333333333333335,8.0,0.0,0.0,0.0,9.333333333333334,0.0,0.0,30.666666666666664,0.0,0.0,0.0,0.0,0.0,2.666666666666667,0.0,0.0,1.3333333333333335,0.0,0.0,0.0,6.666666666666667,0.0,1.3333333333333335,14.666666666666666,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
Essential Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fish,0.0,0.0,0.0,0.9433962264150944,0.0,0.0,0.0,0.0,14.150943396226415,0.0,0.0,0.0,0.0,0.0,5.660377358490567,0.0,0.0,0.0,0.0,0.0,0.0,8.49056603773585,3.7735849056603774,0.0,21.69811320754717,20.754716981132077,0.0,24.528301886792452,0.0,0.0,0.0,0.0,0.0,0.0
Flower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
Fruit,0.0,0.0,11.11111111111111,0.0,0.0,0.0,7.4074074074074066,0.0,0.0,3.7037037037037033,14.814814814814813,0.0,0.0,0.0,0.0,0.0,24.074074074074073,0.0,0.0,0.0,12.962962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25925925925926,16.666666666666664,0.0,0.0
Fruit Citrus,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,33.33333333333333,0.0,0.0
Fruit Essence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fruit-Berry,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fungus,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,0.0,11.11111111111111,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222
Gourd,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0,0.0
