embedding_size,window_size,algorithm,n_clusters,noise_points,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,total_points,noise_percentage,clustered_points,clustered_percentage
100,3,K-means++ (n=20),20,0,0.5807938054188386,3763711.31568975,0.41277401609940584,0.13385797187213896,0.3676751778496542,0.3286051269213287,0.41728950479916094,0.36767517784965426,0.3512551868643554,0.21970448771027037,0.2703250135593311,962,0.0,962,100.0
100,3,K-means++ (n=25),25,0,0.549469183480231,4509580.095434244,0.5104261827095304,0.115196108364481,0.37382480364584997,0.353979567515965,0.39602737549408007,0.3738248036458499,0.2807687905462205,0.2122175038453673,0.24172701174557604,962,0.0,962,100.0
100,3,K-means++ (n=30),30,0,0.5286480497150995,4839910.738757502,0.5943126969803505,0.11767130506092802,0.37800368345484064,0.37004710194324636,0.3863099410047646,0.3780036834548406,0.25405899638151586,0.18648815220874018,0.21509158753521812,962,0.0,962,100.0
100,3,K-means++ (n=35),35,0,0.5266495845069903,5156606.961061641,0.5488022792603557,0.11779553216123223,0.38640232750111975,0.3811198798660458,0.39183326621570996,0.38640232750111975,0.22817747009318923,0.17300407180823346,0.19679684780075452,962,0.0,962,100.0
100,3,"Hierarchical (ward, n=10)",10,0,0.6161022315672553,1293432.2093767875,0.3910702497193452,0.18282575232182272,0.3892077957249605,0.29342947941654113,0.5778111248551606,0.3892077957249605,0.46783365224853535,0.4315016652963525,0.4489337760647698,962,0.0,962,100.0
100,3,"Hierarchical (complete, n=10)",10,0,0.800459229150853,822405.5540141034,0.2818997844145329,0.1496751727496997,0.3909416811850014,0.2677002549028682,0.724463770782362,0.3909416811850014,0.6174453487354512,0.3883989194838252,0.47684341178128115,962,0.0,962,100.0
100,3,"Hierarchical (average, n=10)",10,0,0.7955275868059749,832981.4632243183,0.3227608756110429,0.14973741475948563,0.39252323230452946,0.269047682174468,0.725464856274472,0.39252323230452946,0.5684453487354512,0.39045812154302717,0.46293315218195386,962,0.0,962,100.0
100,3,"Hierarchical (single, n=10)",10,0,0.8007432789235087,828813.0034140751,0.29616859511200155,0.14973741475948563,0.3925232323045295,0.26904768217446806,0.7254648562744721,0.39252323230452946,0.5684453487354512,0.39045812154302717,0.46293315218195386,962,0.0,962,100.0
100,3,"Hierarchical (ward, n=15)",15,0,0.5723865225999145,2355422.031429033,0.4070824367135187,0.1621443471062721,0.37174139484331037,0.30951746395421564,0.4652788625426966,0.3717413948433105,0.43862202731460975,0.27656164064722855,0.3392304185128981,962,0.0,962,100.0
100,3,"Hierarchical (complete, n=15)",15,0,0.4938987152397137,988720.1012133631,0.40194909180272537,0.12841776433507116,0.3861770950401451,0.2932890752826037,0.5651742841518204,0.3861770950401451,0.4643528554270242,0.2596064927892137,0.3330270311754025,962,0.0,962,100.0
100,3,"Hierarchical (average, n=15)",15,0,0.7301527548973579,826193.5712511764,0.26319733961521313,0.14423609467944487,0.39628559647026235,0.2807516080036013,0.6734016550384732,0.3962855964702623,0.49647198040055185,0.2622543676434299,0.34321187239191675,962,0.0,962,100.0
100,3,"Hierarchical (single, n=15)",15,0,0.7402070297667042,570764.3163601562,0.2386860132856737,0.14754126731814982,0.3912705719341645,0.2697118803859621,0.7123054355017561,0.39127057193416453,0.5987044572795427,0.30199299456374934,0.4014767701240721,962,0.0,962,100.0
100,3,"Hierarchical (ward, n=20)",20,0,0.5619723323679717,3425475.081241472,0.41473222940263155,0.13359800913072836,0.375939925740584,0.33503932113611545,0.4282151598174096,0.375939925740584,0.3613596198758474,0.2283352692678812,0.27984351781207334,962,0.0,962,100.0
100,3,"Hierarchical (complete, n=20)",20,0,0.6015651307633477,2459260.097579462,0.38152088835456155,0.15092708773145092,0.38147777841596986,0.314158578066345,0.48551619899401255,0.38147777841596986,0.4142528900516064,0.23101172781104992,0.2966140502125332,962,0.0,962,100.0
100,3,"Hierarchical (average, n=20)",20,0,0.5879654926088231,1321410.0758094692,0.32465928996346605,0.1769404793295681,0.38751590869576624,0.2958066901915935,0.5616424221238767,0.38751590869576624,0.47632807277880274,0.24646809786035662,0.32484863319479407,962,0.0,962,100.0
100,3,"Hierarchical (single, n=20)",20,0,0.6135855926184343,425546.53047637123,0.2584455754609883,0.14760314089994345,0.3935912644404356,0.271703536849768,0.7138107730452531,0.3935912644404356,0.630966879183346,0.281093766543694,0.38892338456854525,962,0.0,962,100.0
100,3,"Hierarchical (ward, n=25)",25,0,0.532666289970544,4257554.3201050805,0.48078383629482746,0.1393648013925196,0.3800990086409744,0.3528059146935017,0.41196896057836174,0.38009900864097435,0.3332701203597928,0.2371148998490484,0.27708761069096427,962,0.0,962,100.0
100,3,"Hierarchical (complete, n=25)",25,0,0.5899759226816482,2666630.3530007363,0.4394396298463639,0.12246092539412302,0.3819085571529358,0.32836546021339724,0.45631504523521055,0.38190855715293576,0.3475938604828824,0.2001435589363057,0.254021981464123,962,0.0,962,100.0
100,3,"Hierarchical (average, n=25)",25,0,0.5872958616564508,1891699.064825569,0.32630550670133224,0.1473173620222825,0.3857366672748847,0.31656582369140135,0.493587403230991,0.38573666727488476,0.4570035181530702,0.21314406563572766,0.29070488419361423,962,0.0,962,100.0
100,3,"Hierarchical (single, n=25)",25,0,0.5218439649122428,372008.1435817185,0.2559560826182896,0.14726457768496207,0.3963146947048029,0.27569201394215664,0.7045931913020886,0.3963146947048029,0.474325962007276,0.22449674392480995,0.30475436223157043,962,0.0,962,100.0
100,3,"Hierarchical (ward, n=30)",30,0,0.513761925329275,4569065.904804687,0.568357638272918,0.12239674237375162,0.3786256569275537,0.3691536054172334,0.3885965928473724,0.37862565692755373,0.23774046042726146,0.20268328541023117,0.21881661944775363,962,0.0,962,100.0
100,3,"Hierarchical (complete, n=30)",30,0,0.5586628412348043,2804025.5653208825,0.451091938518636,0.12653295675382992,0.38014832942096766,0.335978477975574,0.4376897922536371,0.38014832942096766,0.30403658797335803,0.16921230081742053,0.21741934023386328,962,0.0,962,100.0
100,3,"Hierarchical (average, n=30)",30,0,0.5730974827717755,1663787.3172012765,0.3491606699831324,0.14861823540712163,0.39083785379852165,0.32320277824419325,0.49427168950206146,0.3908378537985217,0.36662940659398247,0.18867110290298292,0.2491349217792527,962,0.0,962,100.0
