embedding_size,window_size,algorithm,n_clusters,noise_points,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,total_points_in_embedding,compared_points,noise_percentage,clustered_points,clustered_percentage
100,3,K-means++ (n=10),10,0,0.6082831536191683,1547243.2777023802,0.40712160813357706,0.13990021226237281,0.36473734123855894,0.28612289767461146,0.5029178469502508,0.364737341238559,0.5189295245357007,0.42189150541602494,0.4654061746949309,683,683,0.0,683,100.0
100,3,K-means++ (n=15),15,0,0.5682548251982392,2200688.1000292283,0.4533222704037521,0.13481184936437957,0.361644516086932,0.3101136955598942,0.43371362990854595,0.36164451608693193,0.377029615837782,0.2787451868861031,0.32052219844911817,683,683,0.0,683,100.0
100,3,K-means++ (n=20),20,0,0.543642284645389,3440514.799943288,0.3729902981106495,0.1479692995651098,0.3682621237405937,0.3298510609196097,0.41679815057930514,0.3682621237405937,0.3528918303594994,0.23097849557569722,0.2792072844148552,683,683,0.0,683,100.0
100,3,K-means++ (n=25),25,0,0.5405747503212858,4602828.789305214,0.4158283180017861,0.11521629274519916,0.3716713284216435,0.3535251413266477,0.39178116947841507,0.37167132842164347,0.2791462261490651,0.21127257072551164,0.24051256266150403,683,683,0.0,683,100.0
100,3,K-means++ (n=30),30,0,0.513693753291961,5195786.872021542,0.48900133549608393,0.12159720110560485,0.3846484625028514,0.3822888598556425,0.3870373744203893,0.38464846250285134,0.26863925549864437,0.19383180301652303,0.2251852534145589,683,683,0.0,683,100.0
100,3,K-means++ (n=35),35,0,0.5039429763014196,5479532.0090432605,0.5247540979145876,0.12488676046501807,0.39134808127048853,0.39561999711821577,0.3871674364108376,0.39134808127048853,0.28511487140058034,0.20797048436349633,0.24050796565447133,683,683,0.0,683,100.0
100,3,"Hierarchical (ward, n=10)",10,0,0.6183949826188856,1535126.813897602,0.40271890238412433,0.15136590002656428,0.36514952340315426,0.28405331642469234,0.511053460490089,0.36514952340315426,0.5088209043392553,0.39944415337956285,0.44754674558566665,683,683,0.0,683,100.0
100,3,"Hierarchical (complete, n=10)",10,0,0.8104132354738672,725779.8758296601,0.23457444328756974,0.1508487838230523,0.39348839033654975,0.27033775091987444,0.7227179429657631,0.39348839033654975,0.568765861555964,0.38721423579914144,0.46075067679829607,683,683,0.0,683,100.0
100,3,"Hierarchical (average, n=10)",10,0,0.8104132354738672,725779.8758296601,0.23457444328756974,0.1508487838230523,0.3934883903365497,0.2703377509198744,0.7227179429657631,0.39348839033654964,0.568765861555964,0.38721423579914144,0.46075067679829607,683,683,0.0,683,100.0
100,3,"Hierarchical (single, n=10)",10,0,0.8103269126798693,709037.1178251898,0.16490247164783328,0.15080708942958443,0.39287393278642607,0.2696486365390308,0.7235043272239727,0.39287393278642607,0.7170991948892972,0.38991693850184417,0.5051581711222954,683,683,0.0,683,100.0
100,3,"Hierarchical (ward, n=15)",15,0,0.6070589611964752,2112829.6756904614,0.4154556806460216,0.11933710516971119,0.36902200466463475,0.31113315223312554,0.45337636284266786,0.36902200466463475,0.40402058296519333,0.27341087211234516,0.32612486211526154,683,683,0.0,683,100.0
100,3,"Hierarchical (complete, n=15)",15,0,0.49822909212222327,888270.1721070694,0.3088829506448393,0.1305551021201566,0.38277062387263133,0.29288933770861886,0.5522413208115364,0.38277062387263144,0.4607685116604332,0.25588761907034,0.3290419277405607,683,683,0.0,683,100.0
100,3,"Hierarchical (average, n=15)",15,0,0.6230081030196915,1193155.9381422442,0.24569823752317363,0.17719666684828356,0.3838308168253563,0.2924806922265424,0.558160325041923,0.3838308168253563,0.540561856933671,0.25923815072322676,0.35042324281425574,683,683,0.0,683,100.0
100,3,"Hierarchical (single, n=15)",15,0,0.8103692257036518,522080.36457383144,0.18036628092094215,0.14870400633071662,0.3996033149910551,0.27854964432791757,0.7067441704886376,0.39960331499105517,0.5513994632595316,0.24461681813162622,0.3388915161039354,683,683,0.0,683,100.0
100,3,"Hierarchical (ward, n=20)",20,0,0.5427042144006147,3314981.6389936996,0.37129289124509385,0.13588656661047843,0.3655146302426365,0.3261400783638655,0.4157018858285569,0.3655146302426365,0.3930236400546434,0.2307970156751083,0.2908165428035329,683,683,0.0,683,100.0
100,3,"Hierarchical (complete, n=20)",20,0,0.5526481089922813,2017708.2419655924,0.3907087676843265,0.15221957673049355,0.3849530137195234,0.3210731279418263,0.4805649914653878,0.3849530137195234,0.3664260525769672,0.20982085569024553,0.26684335063970943,683,683,0.0,683,100.0
100,3,"Hierarchical (average, n=20)",20,0,0.5845519423635481,1865953.4615935872,0.2949212206656407,0.14983411659094495,0.3857050916452825,0.3175339814923419,0.49114959566413685,0.3857050916452825,0.4577010691201305,0.21287613654039922,0.29059632347249215,683,683,0.0,683,100.0
100,3,"Hierarchical (single, n=20)",20,0,0.370499124365406,392393.2507510593,0.33340197665357224,0.1503143977473801,0.4064506225885853,0.28612513764512365,0.701423304808523,0.4064506225885852,0.5041725860961284,0.19664052365162976,0.2829306699939519,683,683,0.0,683,100.0
100,3,"Hierarchical (ward, n=25)",25,0,0.5256062855562854,4310803.720138333,0.40307505294036844,0.11648864178245665,0.37137444980072903,0.3527116895647336,0.392122525025317,0.37137444980072903,0.28254021872410623,0.2188666851363594,0.24666050911439338,683,683,0.0,683,100.0
100,3,"Hierarchical (complete, n=25)",25,0,0.49349497371284073,2687690.233572346,0.4420127009918786,0.13323274509311853,0.3873113804861431,0.34473916837464613,0.4418795650658403,0.38731138048614316,0.3312687959241668,0.19250936169961047,0.24350898763581771,683,683,0.0,683,100.0
100,3,"Hierarchical (average, n=25)",25,0,0.533305024548009,2635346.7697242647,0.3567701755030886,0.13108487782309008,0.3781536008564919,0.332507949788281,0.4383255627765449,0.3781536008564919,0.308210380131831,0.18029167747339345,0.22750269147724372,683,683,0.0,683,100.0
100,3,"Hierarchical (single, n=25)",25,0,0.2973284465237683,316489.5617522801,0.34833049152321677,0.15055040706168346,0.4100414538292336,0.2914469365500186,0.6913720159728863,0.4100414538292336,0.49388720387600193,0.17026427077315565,0.25322941474025074,683,683,0.0,683,100.0
100,3,"Hierarchical (ward, n=30)",30,0,0.5102337266871962,4939849.610973226,0.4915959057584623,0.12160966849943805,0.3850236124399125,0.38021956437273824,0.38995061162034306,0.38502361243991257,0.2427326677478111,0.19193652332791855,0.2143665357571142,683,683,0.0,683,100.0
