algorithm,n_clusters,silhouette,calinski,davies,ari,nmi,homogeneity,completeness,v_measure,precision,recall,f1,fmi,vi,micro_precision,micro_recall,micro_f1,noise_points,noise_percentage,clustered_points,clustered_percentage,total_points_in_dataset,compared_points
"DBSCAN (cosine, eps=0.25, min_samples=4)",4,0.8159416767545385,6226.738227897717,0.22944202128393548,0.1341272586277509,0.35846816588394737,0.23921262197038207,0.7148399347756539,0.35846816588394737,0.44202884658208463,0.6659940600978338,0.5313763541182943,0.3407637926179995,2.5958395184284964,0.2775330396475771,0.2775330396475771,0.2775330396475771,11.0,1.6105417276720353,672.0,98.38945827232797,683,681
"DBSCAN (cosine, eps=0.25, min_samples=5)",4,0.8159416767545385,6226.738227897717,0.22944202128393548,0.1341272586277509,0.35846816588394737,0.23921262197038207,0.7148399347756539,0.35846816588394737,0.44202884658208463,0.6659940600978338,0.5313763541182943,0.3407637926179995,2.5958395184284964,0.2775330396475771,0.2775330396475771,0.2775330396475771,11.0,1.6105417276720353,672.0,98.38945827232797,683,681
"DBSCAN (cosine, eps=0.5, min_samples=2)",5,0.5076270843236148,1789.9938174695812,0.5616953933701041,0.11905012511557242,0.33549693912712,0.2169877971838124,0.7392337111561498,0.33549693912712,0.5283130406369844,0.5343270606635387,0.5313030324533972,0.3329439400029855,2.6059727183356745,0.26725403817914833,0.26725403817914833,0.26725403817914833,6.0,0.8784773060029283,677.0,99.12152269399708,683,681
"DBSCAN (cosine, eps=0.5, min_samples=3)",3,0.7866377600608662,3558.0155781176973,0.21058935360964118,0.11906420158447531,0.33163693738513633,0.21372808431960905,0.739727572317879,0.33163693738513633,0.4758028942888098,0.7613120195667367,0.5856116651892682,0.333000969981405,2.611784066276721,0.26725403817914833,0.26725403817914833,0.26725403817914833,10.0,1.4641288433382138,673.0,98.5358711566618,683,681
"DBSCAN (cosine, eps=0.5, min_samples=4)",3,0.7866377600608662,3558.0155781176973,0.21058935360964118,0.11906420158447531,0.33163693738513633,0.21372808431960905,0.739727572317879,0.33163693738513633,0.4758028942888098,0.7613120195667367,0.5856116651892682,0.333000969981405,2.611784066276721,0.26725403817914833,0.26725403817914833,0.26725403817914833,10.0,1.4641288433382138,673.0,98.5358711566618,683,681
"DBSCAN (cosine, eps=0.5, min_samples=5)",3,0.7866377600608662,3558.0155781176973,0.21058935360964118,0.11906420158447531,0.33163693738513633,0.21372808431960905,0.739727572317879,0.33163693738513633,0.4758028942888098,0.7613120195667367,0.5856116651892682,0.333000969981405,2.611784066276721,0.26725403817914833,0.26725403817914833,0.26725403817914833,10.0,1.4641288433382138,673.0,98.5358711566618,683,681
"DBSCAN (cosine, eps=0.75, min_samples=2)",4,0.5024899826068876,2391.412319940593,0.4490178278420477,0.11791966387888675,0.3315937486687046,0.21318869135032031,0.7458253532968518,0.33159374866870467,0.43990619136960596,0.6161924727962464,0.5133362877085266,0.3325536469415833,2.6057002978910875,0.2643171806167401,0.2643171806167401,0.2643171806167401,5.0,0.7320644216691069,678.0,99.26793557833089,683,681
"DBSCAN (cosine, eps=0.75, min_samples=3)",3,0.7865717127151779,3575.6694409546094,0.21124158652988229,0.11789840383027057,0.3289577126752379,0.21116030013685516,0.7440087932967182,0.32895771267523793,0.41059702492629324,0.7077405909953081,0.5196931176150685,0.3325381618283101,2.611849911870672,0.26284875183553597,0.26284875183553597,0.26284875183553597,7.0,1.0248901903367496,676.0,98.97510980966325,683,681
"DBSCAN (cosine, eps=0.75, min_samples=4)",3,0.7865717127151779,3575.6694409546094,0.21124158652988229,0.11789840383027057,0.3289577126752379,0.21116030013685516,0.7440087932967182,0.32895771267523793,0.41059702492629324,0.7077405909953081,0.5196931176150685,0.3325381618283101,2.611849911870672,0.26284875183553597,0.26284875183553597,0.26284875183553597,7.0,1.0248901903367496,676.0,98.97510980966325,683,681
"DBSCAN (cosine, eps=0.75, min_samples=5)",3,0.7864819578898845,3568.538010812065,0.2111269004676823,0.11825256963343064,0.3295278390958241,0.21181703646963168,0.7417108034271341,0.3295278390958241,0.4376873126873127,0.7300620195667367,0.5472730741321804,0.3326443214354796,2.6132180988649703,0.2643171806167401,0.2643171806167401,0.2643171806167401,8.0,1.171303074670571,675.0,98.82869692532942,683,681
"DBSCAN (cosine, eps=1.0, min_samples=2)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
"DBSCAN (cosine, eps=1.0, min_samples=3)",1,,,,0.0,0.0,0.0,1.0,0.0,0.15565345080763582,1.0,0.2693773824650572,0.25269558255236435,3.0317691867135714,0.15565345080763582,0.15565345080763582,0.15565345080763582,0.0,0.0,683.0,100.0,683,681
